Frequency_Hz,AmpBend_mm,DelayTime_us
100000.0,0.0,36.00000000000002
100000.0,0.4,36.00000000000002
100000.0,0.8,36.00000000000002
100000.0,1.2,36.40000000000003
100000.0,1.6,36.800000000000026
100000.0,2.0,37.60000000000003
100000.0,2.4,39.200000000000045
100000.0,2.8,40.00000000000005
100000.0,3.2,40.400000000000055
100000.0,3.6,40.800000000000054
100000.0,4.0,41.20000000000006
100000.0,4.4,41.600000000000065
150000.0,0.0,30.399999999999928
150000.0,0.4,30.399999999999928
150000.0,0.8,46.93333333333338
150000.0,1.2,47.20000000000005
150000.0,1.6,47.46666666666672
150000.0,2.0,48.00000000000006
150000.0,2.4,33.33333333333328
150000.0,2.8,33.59999999999995
150000.0,3.2,34.13333333333328
150000.0,3.6,34.933333333333294
150000.0,4.0,53.06666666666676
150000.0,4.4,54.13333333333343
220000.0,0.0,25.81818181818179
220000.0,0.4,25.999999999999975
220000.0,0.8,26.36363636363634
220000.0,1.2,26.7272727272727
220000.0,1.6,26.90909090909088
220000.0,2.0,27.090909090909065
220000.0,2.4,23.272727272727252
220000.0,2.8,36.00000000000007
220000.0,3.2,36.72727272727281
220000.0,3.6,37.454545454545546
220000.0,4.0,38.00000000000011
220000.0,4.4,49.818181818182126
500000.0,0.0,18.159999999999908
500000.0,0.4,18.159999999999908
500000.0,0.8,14.799999999999939
500000.0,1.2,18.8799999999999
500000.0,1.6,14.799999999999939
500000.0,2.0,18.479999999999905
500000.0,2.4,18.319999999999904
500000.0,2.8,18.07999999999991
500000.0,3.2,21.279999999999877
500000.0,3.6,20.95999999999988
500000.0,4.0,15.199999999999934
500000.0,4.4,19.99999999999989
830000.0,0.0,13.060240963855511
830000.0,0.4,13.012048192771173
830000.0,0.8,13.012048192771173
830000.0,1.2,12.963855421686835
830000.0,1.6,13.012048192771173
830000.0,2.0,13.012048192771173
830000.0,2.4,13.012048192771173
830000.0,2.8,13.060240963855511
830000.0,3.2,21.10843373493978
830000.0,3.6,15.951807228915778
830000.0,4.0,18.746987951807295
830000.0,4.4,26.0240963855421
